xdata, ydata0, ydata1, ydata2, ydata3
4.066944400E+2 , NaN , NaN , NaN , NaN
4.066945300E+2 , NaN , NaN , NaN , NaN
4.066946200E+2 , 0.000000000E+0 , 0.000000000E+0 , 0.000000000E+0 , 2.755595258E+5
4.066947100E+2 , NaN , NaN , NaN , NaN
4.066948000E+2 , 0.000000000E+0 , 0.000000000E+0 , 0.000000000E+0 , 2.376056280E+5
4.066948900E+2 , 0.000000000E+0 , 0.000000000E+0 , 0.000000000E+0 , 2.898612249E+5
4.066949800E+2 , 0.000000000E+0 , 0.000000000E+0 , 0.000000000E+0 , 2.697351340E+5
4.066950700E+2 , NaN , NaN , NaN , NaN
4.066951600E+2 , 0.000000000E+0 , 0.000000000E+0 , 0.000000000E+0 , 2.776527657E+5
4.066952500E+2 , 0.000000000E+0 , 0.000000000E+0 , 0.000000000E+0 , 2.491743859E+5
4.066953400E+2 , NaN , NaN , NaN , NaN
4.066954300E+2 , 0.000000000E+0 , 0.000000000E+0 , 0.000000000E+0 , 3.128158254E+5
4.066955200E+2 , 0.000000000E+0 , 0.000000000E+0 , 0.000000000E+0 , 2.224175626E+5
4.066956100E+2 , 0.000000000E+0 , 0.000000000E+0 , 0.000000000E+0 , 3.119243610E+5
4.066957000E+2 , 0.000000000E+0 , 0.000000000E+0 , 0.000000000E+0 , 3.084965973E+5
4.066957900E+2 , 0.000000000E+0 , 0.000000000E+0 , 0.000000000E+0 , 2.645580672E+5
4.066958800E+2 , NaN , NaN , NaN , NaN
4.066959700E+2 , 0.000000000E+0 , 0.000000000E+0 , 0.000000000E+0 , 2.716702780E+5
4.066960600E+2 , 0.000000000E+0 , 0.000000000E+0 , 0.000000000E+0 , 2.838434191E+5
4.066961500E+2 , 0.000000000E+0 , 0.000000000E+0 , 0.000000000E+0 , 2.527474484E+5
4.066962400E+2 , 0.000000000E+0 , 0.000000000E+0 , 0.000000000E+0 , 2.643009482E+5
4.066963300E+2 , NaN , NaN , NaN , NaN
4.066964200E+2 , 0.000000000E+0 , 0.000000000E+0 , 0.000000000E+0 , 2.642884389E+5
4.066965100E+2 , 0.000000000E+0 , 0.000000000E+0 , 0.000000000E+0 , 2.313154456E+5
4.066966000E+2 , NaN , NaN , NaN , NaN
4.066966900E+2 , 0.000000000E+0 , 0.000000000E+0 , 0.000000000E+0 , 3.122386336E+5
4.066967800E+2 , NaN , NaN , NaN , NaN
4.066968700E+2 , 0.000000000E+0 , 0.000000000E+0 , 0.000000000E+0 , 2.914066918E+5
4.066969600E+2 , 0.000000000E+0 , 0.000000000E+0 , 0.000000000E+0 , 2.411269682E+5
4.066970500E+2 , 0.000000000E+0 , 0.000000000E+0 , 0.000000000E+0 , 2.308653297E+5
4.066971400E+2 , 0.000000000E+0 , 0.000000000E+0 , 0.000000000E+0 , 3.224291453E+5
4.066972300E+2 , NaN , NaN , NaN , NaN
4.066973200E+2 , 0.000000000E+0 , 0.000000000E+0 , 0.000000000E+0 , 2.805238595E+5
4.066974100E+2 , NaN , NaN , NaN , NaN
4.066975000E+2 , 0.000000000E+0 , 0.000000000E+0 , 0.000000000E+0 , 2.809587063E+5
4.066975900E+2 , NaN , NaN , NaN , NaN
4.066976800E+2 , 0.000000000E+0 , 0.000000000E+0 , 0.000000000E+0 , 2.350217103E+5
4.066977700E+2 , 0.000000000E+0 , 0.000000000E+0 , 0.000000000E+0 , 2.874618061E+5
4.066978600E+2 , NaN , NaN , NaN , NaN
4.066979500E+2 , NaN , NaN , NaN , NaN
4.066980400E+2 , NaN , NaN , NaN , NaN
4.066981300E+2 , NaN , NaN , NaN , NaN
4.066982200E+2 , NaN , NaN , NaN , NaN
4.066983100E+2 , 0.000000000E+0 , 0.000000000E+0 , 0.000000000E+0 , 2.723149417E+5
4.066984000E+2 , NaN , NaN , NaN , NaN
4.066984900E+2 , 0.000000000E+0 , 0.000000000E+0 , 0.000000000E+0 , 2.522762406E+5
4.066985800E+2 , 0.000000000E+0 , 0.000000000E+0 , 0.000000000E+0 , 2.803289402E+5
4.066986700E+2 , NaN , NaN , NaN , NaN
4.066987600E+2 , 0.000000000E+0 , 0.000000000E+0 , 0.000000000E+0 , 2.086679180E+5
4.066988500E+2 , NaN , NaN , NaN , NaN
4.066989400E+2 , 0.000000000E+0 , 0.000000000E+0 , 0.000000000E+0 , 2.297284398E+5
4.066990300E+2 , NaN , NaN , NaN , NaN
4.066991200E+2 , 0.000000000E+0 , 0.000000000E+0 , 0.000000000E+0 , 2.458097875E+5
4.066992100E+2 , NaN , NaN , NaN , NaN
4.066993000E+2 , 0.000000000E+0 , 0.000000000E+0 , 0.000000000E+0 , 2.526160654E+5
4.066993900E+2 , NaN , NaN , NaN , NaN
